A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-6.81661E+002	-2.99326E+002	7.49046E+002	-9.15555E-001	-3.78430E+000	3.72326E+000
-1.17191E+001	-1.23539E+002	1.01663E+003	3.05185E-001	2.44148E-001	-1.09867E+000
-1.12308E+001	-1.22562E+002	1.01712E+003	1.83111E-001	-4.27259E-001	-1.34281E+000
-6.83615E+000	-1.28422E+002	1.01859E+003	-3.05185E-001	-1.83111E+000	-1.64800E+000
-3.90637E+000	-1.32328E+002	1.01566E+003	0.00000E+000	-2.31941E+000	-2.01422E+000
-9.76592E+000	-1.28910E+002	1.01077E+003	9.15555E-001	-1.34281E+000	-2.25837E+000
-8.78933E+000	-1.26957E+002	1.01566E+003	4.27259E-001	-2.13630E+000	-2.31941E+000
-2.44148E+000	-1.24027E+002	1.02298E+003	1.83111E-001	-2.56355E+000	-2.62459E+000
-5.85955E+000	-1.21586E+002	1.01517E+003	7.93481E-001	-8.54518E-001	-3.17392E+000
-9.76592E+000	-1.18656E+002	1.00980E+003	9.15555E-001	-6.10370E-002	-3.35704E+000
-8.78933E+000	-1.19633E+002	1.01614E+003	6.10370E-002	-7.93481E-001	-3.29600E+000
-1.12308E+001	-1.21586E+002	1.01419E+003	-6.10370E-002	-6.71407E-001	-3.66222E+000
-1.02542E+001	-1.25004E+002	1.01566E+003	-4.88296E-001	-1.28178E+000	-3.66222E+000
-2.92978E+000	-1.28422E+002	1.01468E+003	-7.93481E-001	-6.71407E-001	-3.29600E+000
-7.81274E+000	-1.32328E+002	1.01224E+003	-2.44148E-001	-7.32444E-001	-3.84533E+000
-3.90637E+000	-1.36235E+002	1.01956E+003	1.22074E-001	-7.93481E-001	-3.72326E+000
0.00000E+000	-1.33793E+002	1.01956E+003	7.93481E-001	-7.32444E-001	-3.66222E+000
-4.88296E+000	-1.29398E+002	1.00980E+003	9.15555E-001	-4.27259E-001	-3.84533E+000
-5.85955E+000	-1.27934E+002	1.01224E+003	7.32444E-001	-1.58696E+000	-3.90637E+000
-1.41606E+001	-1.28422E+002	1.01175E+003	3.66222E-001	-9.15555E-001	-3.41807E+000
-4.88296E+000	-1.29887E+002	1.02445E+003	1.83111E-001	-2.01422E+000	-3.23496E+000
-7.32444E+000	-1.29887E+002	1.01517E+003	9.76592E-001	-2.44148E-001	-3.17392E+000
-1.51372E+001	-1.30863E+002	1.01126E+003	1.03763E+000	3.66222E-001	-3.17392E+000
-1.61138E+001	-1.33305E+002	1.01419E+003	2.44148E-001	-1.22074E-001	-2.62459E+000
-7.32444E+000	-1.31840E+002	1.00980E+003	3.05185E-001	2.44148E-001	-2.07526E+000
-2.44148E+000	-1.32817E+002	1.01810E+003	6.10370E-002	-4.27259E-001	-2.38044E+000
