@relation 'MLC'

@attribute F1_accX_mean numeric
@attribute F2_accX_var numeric
@attribute F3_accX_energy numeric
@attribute F4_accX_pk2pk numeric
@attribute F5_accX_cross numeric
@attribute F6_accX_crossP numeric
@attribute F7_accX_crossN numeric
@attribute F8_accX_peaks numeric
@attribute F9_accX_peaksP numeric
@attribute F10_accX_peaksN numeric
@attribute F11_accX_min numeric
@attribute F12_accX_max numeric
@attribute F13_accY_mean numeric
@attribute F14_accY_var numeric
@attribute F15_accY_energy numeric
@attribute F16_accY_pk2pk numeric
@attribute F17_accY_cross numeric
@attribute F18_accY_crossP numeric
@attribute F19_accY_crossN numeric
@attribute F20_accY_peaks numeric
@attribute F21_accY_peaksP numeric
@attribute F22_accY_peaksN numeric
@attribute F23_accY_min numeric
@attribute F24_accY_max numeric
@attribute F25_accZ_mean numeric
@attribute F26_accZ_var numeric
@attribute F27_accZ_energy numeric
@attribute F28_accZ_pk2pk numeric
@attribute F29_accZ_cross numeric
@attribute F30_accZ_crossP numeric
@attribute F31_accZ_crossN numeric
@attribute F32_accZ_peaks numeric
@attribute F33_accZ_peaksP numeric
@attribute F34_accZ_peaksN numeric
@attribute F35_accZ_min numeric
@attribute F36_accZ_max numeric
@attribute F37_gyrX_mean numeric
@attribute F38_gyrX_var numeric
@attribute F39_gyrX_energy numeric
@attribute F40_gyrX_pk2pk numeric
@attribute F41_gyrX_cross numeric
@attribute F42_gyrX_crossP numeric
@attribute F43_gyrX_crossN numeric
@attribute F44_gyrX_peaks numeric
@attribute F45_gyrX_peaksP numeric
@attribute F46_gyrX_peaksN numeric
@attribute F47_gyrX_min numeric
@attribute F48_gyrX_max numeric
@attribute F49_gyrY_mean numeric
@attribute F50_gyrY_var numeric
@attribute F51_gyrY_energy numeric
@attribute F52_gyrY_pk2pk numeric
@attribute F53_gyrY_cross numeric
@attribute F54_gyrY_crossP numeric
@attribute F55_gyrY_crossN numeric
@attribute F56_gyrY_peaks numeric
@attribute F57_gyrY_peaksP numeric
@attribute F58_gyrY_peaksN numeric
@attribute F59_gyrY_min numeric
@attribute F60_gyrY_max numeric
@attribute F61_gyrZ_mean numeric
@attribute F62_gyrZ_var numeric
@attribute F63_gyrZ_energy numeric
@attribute F64_gyrZ_pk2pk numeric
@attribute F65_gyrZ_cross numeric
@attribute F66_gyrZ_crossP numeric
@attribute F67_gyrZ_crossN numeric
@attribute F68_gyrZ_peaks numeric
@attribute F69_gyrZ_peaksP numeric
@attribute F70_gyrZ_peaksN numeric
@attribute F71_gyrZ_min numeric
@attribute F72_gyrZ_max numeric
@attribute class {0,1}

@data
0.004808, 0.002022, 0.106350, 0.214850, 5.000000, 3.000000, 2.000000, 0.000000, 0.000000, 0.000000, -0.058107, 0.156743, -0.040961, 0.005006, 0.347534, 0.314951, 4.000000, 2.000000, 2.000000, 0.000000, 0.000000, 0.000000, -0.280282, 0.034669, 1.020728, 0.000357, 54.196619, 0.152345, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.941435, 1.093780, -5.803208, 127.865287, 8400.210363, 40.040244, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, -39.307800, 0.732444, -2.530691, 112.774449, 6197.299977, 62.990200, 3.000000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, -40.711700, 22.278500, -0.539944, 21.889314, 1153.404422, 28.687400, 4.000000, 2.000000, 2.000000, 0.000000, 0.000000, 0.000000, -13.489200, 15.198200, 0
-0.003465, 0.003126, 0.163155, 0.312021, 8.000000, 4.000000, 4.000000, 0.000000, 0.000000, 0.000000, -0.112796, 0.199225, -0.040331, 0.016040, 0.918679, 0.618671, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.267586, 0.351085, 1.006398, 0.002069, 52.775079, 0.314955, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.812525, 1.127480, 8.426634, 314.807877, 20062.434022, 103.701900, 10.000000, 5.000000, 5.000000, 0.000000, 0.000000, 0.000000, -65.248600, 38.453300, -0.825173, 334.731766, 17441.459175, 106.143400, 13.000000, 6.000000, 7.000000, 0.000000, 0.000000, 0.000000, -69.399100, 36.744300, 11.520737, 373.248354, 26310.738811, 109.744500, 8.000000, 4.000000, 4.000000, 0.000000, 0.000000, 0.000000, -40.589600, 69.154900, 0
0.794035, 0.077944, 36.838683, 0.956080, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.154790, 1.110870, 0.111369, 0.014516, 1.399808, 0.525895, 9.000000, 5.000000, 4.000000, 0.000000, 0.000000, 0.000000, -0.083010, 0.442885, 0.357010, 0.163304, 15.119555, 1.400924, 6.000000, 3.000000, 3.000000, 0.000000, 0.000000, 0.000000, -0.125004, 1.275920, 12.801343, 891.396385, 54874.079339, 150.517200, 15.000000, 7.000000, 8.000000, 0.000000, 0.000000, 0.000000, -49.867200, 100.650000, -34.942522, 1347.404635, 133555.991561, 167.363500, 5.000000, 3.000000, 2.000000, 0.000000, 0.000000, 0.000000, -102.176000, 65.187500, 12.426904, 437.212313, 30765.293337, 87.832300, 12.000000, 6.000000, 6.000000, 0.000000, 0.000000, 0.000000, -30.335400, 57.496900, 0
0.627301, 0.038988, 22.489699, 0.720237, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.279305, 0.999542, -0.047449, 0.046876, 2.554612, 0.748069, 3.000000, 1.000000, 2.000000, 0.000000, 0.000000, 0.000000, -0.450697, 0.297372, 0.689512, 0.073315, 28.534531, 1.128449, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.077639, 1.050810, -18.908561, 1166.911592, 79271.154728, 137.150200, 13.000000, 6.000000, 7.000000, 0.000000, 0.000000, 0.000000, -99.307200, 37.843000, 32.314414, 1963.734890, 156413.725351, 182.867200, 8.000000, 4.000000, 4.000000, 0.000000, 0.000000, 0.000000, -41.627200, 141.240000, -6.640120, 318.148401, 18836.458810, 65.614800, 7.000000, 4.000000, 3.000000, 0.000000, 0.000000, 0.000000, -38.209200, 27.405600, 0
-0.775095, 0.132445, 38.127341, 1.274946, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, -1.047400, 0.227546, -0.115257, 0.041018, 2.823732, 0.630879, 2.000000, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, -0.489761, 0.141118, 0.179383, 0.220243, 13.125914, 1.594775, 9.000000, 4.000000, 5.000000, 0.000000, 0.000000, 0.000000, -0.594745, 1.000030, -18.248897, 161.207984, 25699.972042, 65.431700, 6.000000, 3.000000, 3.000000, 0.000000, 0.000000, 0.000000, -51.820400, 13.611300, 50.600873, 1831.195844, 228365.495347, 170.781400, 3.000000, 1.000000, 2.000000, 0.000000, 0.000000, 0.000000, -46.754400, 124.027000, 19.949715, 1035.719371, 74552.945118, 124.881700, 5.000000, 2.000000, 3.000000, 0.000000, 0.000000, 0.000000, -49.501000, 75.380700, 0
-0.426104, 0.129534, 16.177139, 1.054720, 3.000000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, -1.008820, 0.045900, -0.762315, 0.078910, 34.321787, 1.016632, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -1.108920, -0.092288, -0.184191, 0.006966, 2.126396, 0.448255, 2.000000, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, -0.437513, 0.010743, -1.563488, 284.970621, 14945.585971, 90.517900, 12.000000, 6.000000, 6.000000, 0.000000, 0.000000, 0.000000, -63.661600, 26.856300, -11.841182, 401.263320, 28156.799343, 114.139200, 8.000000, 4.000000, 4.000000, 0.000000, 0.000000, 0.000000, -48.646500, 65.492700, -40.272696, 550.824181, 112981.137883, 79.409170, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, -76.662500, 2.746670, 0
-0.075292, 0.008670, 0.745638, 0.316416, 6.000000, 3.000000, 3.000000, 0.000000, 0.000000, 0.000000, -0.246590, 0.069826, -0.435926, 0.154469, 17.914049, 1.184609, 3.000000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, -1.124060, 0.060549, -0.725861, 0.092867, 32.226582, 0.867700, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -1.042510, -0.174810, -29.626426, 729.035262, 83551.539092, 109.561500, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, -92.776300, 16.785200, 23.527426, 446.247046, 51988.915519, 82.888300, 5.000000, 3.000000, 2.000000, 0.000000, 0.000000, 0.000000, -14.160600, 68.727700, 27.485437, 588.247294, 69872.220012, 89.175100, 4.000000, 2.000000, 2.000000, 0.000000, 0.000000, 0.000000, -10.254200, 78.920900, 0
0.057159, 0.002410, 0.295209, 0.166509, 6.000000, 2.000000, 4.000000, 0.000000, 0.000000, 0.000000, -0.012207, 0.154302, 0.119088, 0.003041, 0.895569, 0.292977, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, -0.048341, 0.244636, -0.968320, 0.001829, 48.852558, 0.286145, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -1.144570, -0.858425, 0.814606, 259.694434, 13538.616892, 78.981900, 9.000000, 5.000000, 4.000000, 0.000000, 0.000000, 0.000000, -27.649800, 51.332100, 0.219500, 155.445596, 8085.676350, 67.934200, 9.000000, 4.000000, 5.000000, 0.000000, 0.000000, 0.000000, -43.946700, 23.987500, 4.395840, 83.805166, 5362.685871, 58.656600, 11.000000, 6.000000, 5.000000, 0.000000, 0.000000, 0.000000, -28.687400, 29.969200, 0
-0.007860, 0.003271, 0.173319, 0.301279, 10.000000, 4.000000, 6.000000, 0.000000, 0.000000, 0.000000, -0.128910, 0.172369, 0.603431, 0.193871, 29.015997, 1.181190, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.148930, 1.032260, -0.492409, 0.150678, 20.443500, 1.021027, 2.000000, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, -1.000030, 0.020997, -35.537612, 2563.660988, 198982.308677, 179.021500, 5.000000, 2.000000, 3.000000, 0.000000, 0.000000, 0.000000, -123.783000, 55.238500, -1.988397, 97.713172, 5286.678525, 40.101300, 11.000000, 6.000000, 5.000000, 0.000000, 0.000000, 0.000000, -20.447400, 19.653900, -2.878133, 130.780233, 7231.322036, 55.360600, 17.000000, 8.000000, 9.000000, 0.000000, 0.000000, 0.000000, -27.466700, 27.893900, 0
-0.050792, 0.001167, 0.194845, 0.187017, 3.000000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, -0.096194, 0.090823, 0.981766, 0.000331, 50.138193, 0.120124, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.943876, 1.064000, -0.004836, 0.001354, 0.071645, 0.178228, 9.000000, 5.000000, 4.000000, 0.000000, 0.000000, 0.000000, -0.100589, 0.077639, -2.793615, 104.490604, 5839.334345, 56.337200, 15.000000, 8.000000, 7.000000, 0.000000, 0.000000, 0.000000, -26.368000, 29.969200, 0.126769, 8.009411, 417.325058, 12.146360, 16.000000, 8.000000, 8.000000, 0.000000, 0.000000, 0.000000, -4.211550, 7.934810, 3.776080, 111.576366, 6543.427635, 49.928300, 10.000000, 5.000000, 5.000000, 0.000000, 0.000000, 0.000000, -15.686500, 34.241800, 0
