A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-1.91900E+002	9.76592E-001	1.00296E+003	-1.00711E+001	-3.54015E+000	4.33363E+000
9.76592E-001	-5.85955E+000	1.02005E+003	3.66222E-001	-6.71407E-001	-4.27259E-001
4.68764E+001	-4.63881E+001	6.86056E+002	8.24000E+001	-3.14341E+001	9.15555E-001
1.26957E+001	4.58998E+001	3.35948E+002	6.29292E+001	-2.12409E+001	-3.47911E+000
3.02744E+001	1.34281E+002	1.64068E+002	2.95419E+001	-1.37333E+001	-6.59200E+000
5.37126E+000	1.64556E+002	1.06449E+002	-8.30103E+000	-2.50252E+000	-1.06204E+001
-1.31840E+002	3.07627E+001	4.53627E+002	-5.57878E+001	1.41606E+001	-1.19022E+001
-2.63680E+002	-9.17997E+001	1.17582E+003	-9.12503E+001	3.65612E+001	-7.93481E-001
-1.99713E+002	-1.60161E+002	1.79693E+003	-7.68456E+001	2.66732E+001	6.71407E+000
-1.38676E+002	-2.43660E+002	2.14069E+003	-3.90637E+001	1.61138E+001	1.17191E+001
-9.57060E+001	-1.96295E+002	1.89312E+003	2.09357E+001	1.83111E-001	1.25126E+001
-5.85955E+000	-1.04007E+002	1.29447E+003	6.94601E+001	-2.64290E+001	4.94400E+000
1.95318E+000	-3.85754E+001	8.38893E+002	7.78832E+001	-2.73446E+001	-2.56355E+000
-2.73446E+001	1.36723E+001	5.09293E+002	6.48213E+001	-1.27567E+001	-1.83111E+000
9.27763E+000	8.05689E+001	2.84188E+002	4.02234E+001	-1.02542E+001	-2.86874E+000
-3.90637E+000	1.22074E+002	1.41606E+002	9.46074E+000	-8.66726E+000	-9.39970E+000
-5.66424E+001	7.95923E+001	2.21198E+002	-3.21055E+001	4.69985E+000	-8.78933E+000
-2.31941E+002	-6.05487E+001	7.30003E+002	-7.66625E+001	2.40486E+001	-5.61541E+000
-3.30088E+002	-1.55766E+002	1.52300E+003	-9.46074E+001	3.96130E+001	5.24918E+000
-1.78716E+002	-1.75298E+002	1.95611E+003	-6.15253E+001	1.80059E+001	1.11087E+001
-4.10169E+001	-1.48930E+002	1.93219E+003	-1.03153E+001	-1.15970E+000	1.23905E+001
-1.26957E+001	-1.14261E+002	1.59673E+003	3.54015E+001	-1.09256E+001	6.22578E+000
-5.42009E+001	-7.22678E+001	1.21000E+003	6.34175E+001	-1.90435E+001	-1.40385E+000
-7.81274E+001	-3.80871E+001	9.36064E+002	7.01926E+001	-1.86773E+001	-1.95318E+000
-5.32243E+001	4.39467E+000	5.96698E+002	6.64693E+001	-1.67852E+001	-5.49333E-001
1.17191E+001	8.54518E+001	2.95907E+002	4.30921E+001	-1.15360E+001	-7.32444E-001
-2.58797E+001	1.52837E+002	1.42094E+002	7.01926E+000	-5.06607E+000	-6.16474E+000
-9.86358E+001	1.50395E+002	1.64556E+002	-3.64391E+001	3.11289E+000	-6.10370E+000
-2.84677E+002	-5.46892E+001	8.04224E+002	-8.80154E+001	1.90435E+001	-6.71407E-001
-3.22275E+002	-2.19733E+002	1.73492E+003	-1.05106E+002	4.13831E+001	1.77007E+001
-7.86157E+001	-2.44636E+002	2.23884E+003	-5.99384E+001	1.72735E+001	2.33161E+001
4.73647E+001	-1.41606E+002	1.96979E+003	1.63579E+001	-1.74566E+001	9.15555E+000
7.32444E+000	-7.66625E+001	1.40043E+003	6.56758E+001	-2.70394E+001	-3.78430E+000
-1.26957E+002	-7.22678E+001	9.85870E+002	7.67846E+001	-2.47200E+001	-9.64385E+000
-1.48930E+002	-2.19733E+001	6.52364E+002	7.24509E+001	-2.47810E+001	-4.33363E+000
-5.02945E+001	5.71306E+001	3.88195E+002	5.21256E+001	-2.28889E+001	8.54518E-001
-1.95318E+000	1.20121E+002	1.93854E+002	2.28278E+001	-1.72124E+001	-1.22074E+000
2.00201E+001	1.50884E+002	9.13114E+001	-1.47099E+001	-5.00504E+000	-9.76592E-001
-8.15455E+001	1.05960E+002	2.79305E+002	-6.07318E+001	6.83615E+000	-2.80770E+000
-2.40242E+002	-1.33793E+002	1.19730E+003	-1.05960E+002	3.35093E+001	4.63881E+000
-1.16214E+002	-2.24616E+002	1.95318E+003	-9.55229E+001	3.40587E+001	1.61748E+001
3.07627E+001	-2.26569E+002	2.20563E+003	-3.93689E+001	5.79852E+000	1.04984E+001
-1.46489E+001	-1.60649E+002	1.87066E+003	2.39265E+001	-5.31022E+000	1.15970E+000
-3.61339E+001	-1.05960E+002	1.31742E+003	6.56758E+001	-1.86773E+001	-4.88296E+000
-6.83615E+001	-5.12711E+001	8.48659E+002	7.72729E+001	-2.50252E+001	-8.48415E+000
-6.15253E+001	1.41606E+001	5.27848E+002	6.39058E+001	-1.90435E+001	-4.45570E+000
